country_name,country_code,indicator_name,Average_Inflation1960_1964,Average_Inflation1965_1969,Average_Inflation1970_1974,Average_Inflation1975_1979,Average_Inflation1980_1984,Average_Inflation1985_1989,Average_Inflation1990_1994,Average_Inflation1995_1999,Average_Inflation2000_2004,Average_Inflation2005_2009,Average_Inflation2010_2014,Average_Inflation2015_2019,Inflation_2021,Inflation_2022
West Bank and Gaza,PSE,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,3.64,3.43,4.49,2.57,0.56,0.74,1.24
Pacific island small states,PSS,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,3.27,5.81,2.42,1.51,0.22,0
Post-demographic dividend,PST,"Inflation, consumer prices (annual %)",2.67,3.57,3.12,9.48,9.34,4.48,4.57,2.4,2.27,2.43,2.3,1.21,0.63,2.51
French Polynesia,PYF,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,QAT,"Inflation, consumer prices (annual %)",0,0,0,0,4.97,2.65,2.19,3.57,2.49,8.92,1.52,0.89,2.54,2.3
Romania,ROU,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,166.75,66.15,25.97,6.77,4.5,1.53,2.63,5.5
Russian Federation,RUS,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,236.39,74.67,16.52,11.42,6.99,6.72,3.38,6.69
Rwanda,RWA,"Inflation, consumer prices (annual %)",0,0.93,0.47,16,7.65,1.75,9.15,4.65,5.79,11.7,4.28,4.2,9.85,0.39
South Asia,SAS,"Inflation, consumer prices (annual %)",0,5,2.5,5.87,1.9,8.8,1.27,7.94,3.61,7.37,8.32,3.96,5.69,5.55
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",0.56,2.1,1.33,15.41,1.32,1.17,1.7,0.89,0.17,4.36,3.96,0.56,3.45,3.6
Sudan,SDN,"Inflation, consumer prices (annual %)",3.83,4.24,4.4,18.62,28.8,44.37,14.63,58.3,9.49,11.2,28.1,36.26,15.32,382.82
Senegal,SEN,"Inflation, consumer prices (annual %)",0,1.35,0.68,11.43,11.8,2.73,6.3,2.87,1.3,2.96,1.13,0.9,2.55,0
Singapore,SGP,"Inflation, consumer prices (annual %)",0.95,0.94,0.94,2.56,4.88,0.7,2.91,0.97,0.83,2.14,3.21,0.11,0.18,2.3
Solomon Islands,SLB,"Inflation, consumer prices (annual %)",0,0,0,7.45,11.95,13.16,11.39,9.98,8.2,1.13,4.97,1.1,2.96,0.12
Sierra Leone,SLE,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,5.46,6.15,13.33,13.45,11.87
El Salvador,SLV,"Inflation, consumer prices (annual %)",0.14,0.48,0.31,13.5,13.74,23.3,15.74,5.47,2.89,4.21,1.99,0.41,0.37,3.47
San Marino,SMR,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0.29,2.55,2.21,0.35,0,0
Somalia,SOM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,SRB,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,54.84,41.3,1.95,6.88,1.89,1.58,4.9
Sub-Saharan Africa (excluding high income),SSA,"Inflation, consumer prices (annual %)",0,0,0,0,9.47,8.58,12.94,7.73,4.91,7.33,5.13,4.26,3.54,5.33
South Sudan,SSD,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,1,19.3,158.27,29.68,1.52
Sub-Saharan Africa,SSF,"Inflation, consumer prices (annual %)",0,0,0,13.98,12.12,8.6,12.59,7.41,4.83,7.47,5.5,4.22,3.79,5.33
Small states,SST,"Inflation, consumer prices (annual %)",0,0,0,4.1,9.19,5.45,5.57,3.71,2.85,4.93,3.11,1.58,0.62,2.41
Sao Tome and Principe,STP,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,19.81,1.93,21.55,1.68,4.85,0,0
Suriname,SUR,"Inflation, consumer prices (annual %)",2.59,6.68,4.64,1.38,7.66,18.21,12.67,71.95,29.3,8.43,6.99,16.86,34.89,59.11
Slovak Republic,SVK,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,9.32,7.8,7.72,3.23,1.96,1.13,1.94,3.15
Slovenia,SVN,"Inflation, consumer prices (annual %)",0,0,0,0,33.32,357.51,185.92,9.15,6.78,3.1,1.63,0.84,0.5,1.92
Sweden,SWE,"Inflation, consumer prices (annual %)",3.47,3.84,3.65,9.74,1.26,5.61,5.81,0.77,1.55,1.39,0.96,1.29,0.5,2.16
Eswatini,SWZ,"Inflation, consumer prices (annual %)",0,2.48,1.24,12.87,14.81,15.1,11.8,8.1,8.18,7.65,6.17,5.29,0,0
Sint Maarten (Dutch part),SXM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,2.5,2.87,0.53,0,0
Seychelles,SYC,"Inflation, consumer prices (annual %)",0,0,0,14.54,6.68,1.42,2.45,1.64,3.91,14.92,2.6,2.33,8.28,0
Syrian Arab Republic,SYR,"Inflation, consumer prices (annual %)",2.11,0.87,1.49,8.84,13.47,31.75,13.59,2.72,1.85,7.97,9.17,0,0,0
Turks and Caicos Islands,TCA,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,TCD,"Inflation, consumer prices (annual %)",0,0,0,0,4.5,0.42,6.53,4.47,2.87,5.44,1.87,1.7,4.46,0.77
East Asia & Pacific (IDA & IBRD countries),TEA,"Inflation, consumer prices (annual %)",0,0,0,0,0,4.2,7.22,6.33,3.31,5.6,3.62,2.8,2.39,2.48
Europe & Central Asia (IDA & IBRD countries),TEC,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,44.45,34.9,7.67,7.38,4.4,2.42,2.68,5.5
Togo,TGO,"Inflation, consumer prices (annual %)",0,1.67,0.83,12.2,9.8,0.27,8.19,6.6,1.66,4.47,1.92,0.9,1.83,0
Thailand,THA,"Inflation, consumer prices (annual %)",1.91,2.53,2.22,6.98,8.44,3.19,4.81,5.11,1.7,3.21,2.83,0.34,0.85,1.23
Tajikistan,TJK,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,14.86,11.43,7.16,2.34,0,0
Turkmenistan,TKM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
